route_id,fare_per_km,avg_fare_per_km,fare_amount,trip_distance
48_161,25.65217391304348,10.594701114645769,17.7,0.69
48_161,19.393939393939394,10.594701114645769,12.8,0.66
48_161,19.5,10.594701114645769,15.6,0.8
48_161,22.307692307692307,10.594701114645769,5.8,0.26
48_161,18.88888888888889,10.594701114645769,17.0,0.9
48_161,20.25974025974026,10.594701114645769,15.6,0.77
48_161,22.28571428571429,10.594701114645769,15.6,0.7
48_161,21.51898734177215,10.594701114645769,17.0,0.79
48_161,21.666666666666668,10.594701114645769,6.5,0.3
48_161,22.73809523809524,10.594701114645769,19.1,0.84
48_161,20.285714285714285,10.594701114645769,14.2,0.7
48_161,17.966101694915256,10.594701114645769,21.2,1.18
48_161,17.966101694915256,10.594701114645769,21.2,1.18
48_161,25.810810810810814,10.594701114645769,19.1,0.74
48_161,22.238805970149254,10.594701114645769,14.9,0.67
48_161,17.749999999999996,10.594701114645769,14.2,0.8
48_161,20.166666666666668,10.594701114645769,12.1,0.6
48_161,25.208333333333332,10.594701114645769,12.1,0.48
48_161,18.85496183206107,10.594701114645769,24.7,1.31
48_161,24.301075268817204,10.594701114645769,22.6,0.93
48_161,18.4,10.594701114645769,18.4,1.0
48_161,20.0,10.594701114645769,14.2,0.71
48_161,20.694444444444446,10.594701114645769,14.9,0.72
48_161,17.73809523809524,10.594701114645769,14.9,0.84
48_161,19.454545454545453,10.594701114645769,10.7,0.55
48_161,21.91176470588235,10.594701114645769,14.9,0.68
48_161,37.875,10.594701114645769,30.3,0.8
48_161,23.589743589743588,10.594701114645769,18.4,0.78
48_161,18.28571428571429,10.594701114645769,12.8,0.7
48_161,18.243243243243242,10.594701114645769,13.5,0.74
48_161,20.5,10.594701114645769,20.5,1.0
48_161,19.83606557377049,10.594701114645769,12.1,0.61
48_161,18.90625,10.594701114645769,12.1,0.64
48_161,18.24742268041237,10.594701114645769,17.7,0.97
48_161,19.28571428571429,10.594701114645769,13.5,0.7
48_161,19.032258064516128,10.594701114645769,17.7,0.93
48_161,36.5,10.594701114645769,21.9,0.6
48_161,19.375000000000004,10.594701114645769,9.3,0.48
48_161,17.833333333333332,10.594701114645769,10.7,0.6
48_161,19.638554216867472,10.594701114645769,16.3,0.83
48_161,18.28571428571429,10.594701114645769,12.8,0.7
48_161,19.375,10.594701114645769,15.5,0.8
48_161,19.666666666666664,10.594701114645769,17.7,0.9
48_161,17.923076923076923,10.594701114645769,23.3,1.3
48_161,19.49685534591195,10.594701114645769,31.0,1.59
48_161,17.7,10.594701114645769,17.7,1.0
48_161,26.428571428571427,10.594701114645769,3.7,0.14
48_161,19.166666666666664,10.594701114645769,18.4,0.96
48_161,18.823529411764707,10.594701114645769,12.8,0.68
48_161,18.6,10.594701114645769,9.3,0.5
48_161,19.23076923076923,10.594701114645769,10.0,0.52
48_161,19.71153846153846,10.594701114645769,20.5,1.04
48_161,23.5,10.594701114645769,28.2,1.2
48_161,22.4025974025974,10.594701114645769,34.5,1.54
48_161,21.733333333333334,10.594701114645769,16.3,0.75
48_161,35.32258064516129,10.594701114645769,21.9,0.62
48_161,30.249999999999996,10.594701114645769,12.1,0.4
48_161,17.941176470588236,10.594701114645769,36.6,2.04
48_161,20.000000000000004,10.594701114645769,11.4,0.57
48_161,28.095238095238095,10.594701114645769,17.7,0.63
48_161,20.41095890410959,10.594701114645769,14.9,0.73
48_161,31.833333333333336,10.594701114645769,19.1,0.6
48_161,24.999999999999996,10.594701114645769,17.0,0.68
48_161,18.314606741573034,10.594701114645769,16.3,0.89
48_161,22.47058823529412,10.594701114645769,19.1,0.85
48_161,20.344827586206897,10.594701114645769,17.7,0.87
48_161,22.403846153846153,10.594701114645769,23.3,1.04
48_161,30.803571428571427,10.594701114645769,34.5,1.12
48_161,19.452054794520546,10.594701114645769,14.2,0.73
48_161,17.8125,10.594701114645769,11.4,0.64
48_161,23.278688524590162,10.594701114645769,14.2,0.61
48_161,24.107142857142854,10.594701114645769,13.5,0.56
48_161,18.550724637681164,10.594701114645769,12.8,0.69
48_161,22.905982905982906,10.594701114645769,26.8,1.17
48_17,6.435754189944134,4.9792235401682285,57.6,8.95
48_17,6.802547770700637,4.9792235401682285,53.4,7.85
48_170,18.823529411764707,9.78430453438638,12.8,0.68
48_170,28.28571428571429,9.78430453438638,19.8,0.7
48_170,20.481927710843376,9.78430453438638,17.0,0.83
48_170,22.666666666666668,9.78430453438638,17.0,0.75
48_170,26.05263157894737,9.78430453438638,19.8,0.76
48_170,17.117117117117115,9.78430453438638,38.0,2.22
48_170,19.666666666666664,9.78430453438638,17.7,0.9
48_170,22.315789473684212,9.78430453438638,21.2,0.95
48_170,16.933333333333334,9.78430453438638,25.4,1.5
48_170,22.539682539682538,9.78430453438638,14.2,0.63
48_170,17.38095238095238,9.78430453438638,21.9,1.26
48_170,20.666666666666668,9.78430453438638,31.0,1.5
48_170,17.333333333333332,9.78430453438638,15.6,0.9
48_170,19.902912621359224,9.78430453438638,20.5,1.03
48_170,17.52212389380531,9.78430453438638,19.8,1.13
48_170,19.666666666666664,9.78430453438638,17.7,0.9
48_170,19.318181818181817,9.78430453438638,17.0,0.88
48_170,24.064516129032256,9.78430453438638,37.3,1.55
48_170,28.8135593220339,9.78430453438638,17.0,0.59
48_170,19.096774193548388,9.78430453438638,29.6,1.55
48_170,18.54368932038835,9.78430453438638,19.1,1.03
48_170,19.999999999999996,9.78430453438638,18.4,0.92
48_170,20.25974025974026,9.78430453438638,15.6,0.77
48_170,20.674157303370784,9.78430453438638,18.4,0.89
48_170,18.39506172839506,9.78430453438638,14.9,0.81
48_170,18.75,9.78430453438638,13.5,0.72
48_170,18.27338129496403,9.78430453438638,25.4,1.39
48_170,19.607843137254903,9.78430453438638,10.0,0.51
48_170,17.368421052631582,9.78430453438638,19.8,1.14
48_170,19.23076923076923,9.78430453438638,27.5,1.43
48_170,18.625,9.78430453438638,14.9,0.8
48_170,24.19047619047619,9.78430453438638,25.4,1.05
48_170,53.333333333333336,9.78430453438638,12.8,0.24
48_170,20.579710144927535,9.78430453438638,14.2,0.69
48_170,16.880733944954127,9.78430453438638,18.4,1.09
48_170,17.0,9.78430453438638,17.0,1.0
